DAY_HOUR,raw,diff,precip,label
11-12,0.098,-0.0010000000000000009,0.0,0
11-13,0.099,0.0010000000000000009,0.0,0
11-14,0.098,-0.0010000000000000009,0.0,0
11-15,0.098,0.0,0.0,0
11-16,0.098,0.0,0.0,0
11-17,0.098,0.0,0.0,0
11-18,0.098,0.0,0.0,0
11-19,0.098,0.0,0.0,0
11-20,0.098,0.0,0.0,0
11-21,0.098,0.0,0.0,0
11-22,0.09699999999999999,-0.0010000000000000148,0.0,0
11-23,0.09699999999999999,0.0,0.0,0
12-00,0.09699999999999999,0.0,0.0,0
12-01,0.09699999999999999,0.0,0.0,0
12-02,0.09699999999999999,0.0,7.0,0
12-03,0.941,0.844,2.0,1
12-04,0.111,-0.83,0.0,0
12-05,0.11699999999999999,0.0059999999999999915,0.9,0
12-06,0.11800000000000001,0.0010000000000000148,1.2,0
12-07,0.11800000000000001,0.0,0.0,0
12-08,0.11900000000000001,0.0010000000000000009,0.0,0
12-09,0.11900000000000001,0.0,0.5,0
12-10,1.1,0.9810000000000001,1.1,1
12-11,0.11800000000000001,-0.9820000000000001,0.6,0
12-12,0.11900000000000001,0.0010000000000000009,0.3,0
12-13,2.042,1.9229999999999998,0.0,1
12-14,1.092,-0.9499999999999997,0.0,0
12-15,0.17,-0.922,0.3,0
12-16,2.365,2.1950000000000003,0.2,1
12-17,0.11699999999999999,-2.248,0.0,0
12-18,0.11699999999999999,0.0,0.0,0
12-19,0.10800000000000001,-0.00899999999999998,0.0,0
12-20,0.43700000000000006,0.32900000000000007,0.0,0
12-21,0.115,-0.32200000000000006,0.0,0
12-22,0.114,-0.0010000000000000009,0.0,0
12-23,0.114,0.0,0.0,0
13-00,0.113,-0.0010000000000000009,0.0,0
13-01,0.113,0.0,0.0,0
13-02,0.11199999999999999,-0.0010000000000000148,0.0,0
13-03,0.111,-0.000999999999999987,0.0,0
13-04,0.111,0.0,0.0,0
13-05,0.11,-0.0010000000000000009,0.0,0
13-06,0.11,0.0,0.0,0
13-07,0.109,-0.0010000000000000009,0.0,0
13-08,0.109,0.0,0.0,0
13-09,0.109,0.0,0.0,0
13-10,0.10800000000000001,-0.000999999999999987,0.0,0
13-11,0.10800000000000001,0.0,0.0,0
13-12,0.107,-0.0010000000000000148,0.0,0
13-13,0.107,0.0,0.0,0
13-14,0.107,0.0,0.0,0
13-15,0.106,-0.0010000000000000009,0.0,0
13-16,0.106,0.0,0.0,0
13-17,0.106,0.0,0.0,0
13-18,0.105,-0.0010000000000000009,0.0,0
13-19,0.10400000000000001,-0.000999999999999987,0.0,0
13-20,0.10400000000000001,0.0,0.0,0
13-21,0.10300000000000001,-0.0010000000000000009,0.0,0
13-22,0.10300000000000001,0.0,0.0,0
13-23,0.10300000000000001,0.0,0.0,0
14-00,0.10300000000000001,0.0,0.0,0
14-01,0.10300000000000001,0.0,0.0,0
14-02,0.10300000000000001,0.0,0.0,0
14-03,0.10300000000000001,0.0,0.0,0
14-04,0.102,-0.0010000000000000148,0.0,0
14-05,0.102,0.0,0.0,0
14-06,0.102,0.0,0.0,0
14-07,0.102,0.0,0.0,0
14-08,0.102,0.0,0.0,0
14-09,0.102,0.0,1.1,0
14-10,0.102,0.0,1.3,0
14-11,0.102,0.0,1.6,0
14-12,0.102,0.0,1.4,0
14-13,0.106,0.0040000000000000036,0.2,0
14-14,0.109,0.0030000000000000027,1.5,0
14-15,0.11199999999999999,0.002999999999999989,1.1,0
14-16,0.115,0.0030000000000000165,0.4,0
14-17,0.11699999999999999,0.001999999999999988,0.0,0
